STUDENT NO.,Staff,LAST NAME,FIRST NAME,GENDER,DATE OF BIRTH,COUNTRY ORIGIN,COUNTRY,MOBILE,EMAIL,YEAR,STUDY LEVEL,POST GRAD.,FACULTY,COURSE,START DATE,END DATE,SESS START DATE,SESS END DATE,Length of talk (Mins),Tone or sentimental score,No. comunications, Prior awareness,No. questions student,No. questions VA,Lead Score
30,Joanna,HALL,Charlotte,F,27-08-07,Thailand,United Arab Emirates,9.71548E+11,fudrucker@icloud.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
31,Jada,YOUNG,Gabriel,M,02-04-07,France,United Arab Emirates,9.71524E+11,isaacson@att.net,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
32,Lexi,ALLEN,Samuel,M,21-01-07,United Kingdom,United Arab Emirates,9.71584E+11,grdschl@hotmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
33,Katie,SANCHEZ,Carter,M,19-10-05,Italy,United Arab Emirates,9.71549E+11,amaranth@me.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
34,Dalton,WRIGHT,Anthony,M,14-03-07,Egypt,United Arab Emirates,9.71588E+11,hmbrand@verizon.net,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
35,Maddison,KING,John,M,25-02-07,South Africa,United Arab Emirates,9.71584E+11,tromey@yahoo.ca,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
36,Gideon,SCOTT,Harper,F,20-03-07,South Korea,United Arab Emirates,9.71548E+11,blixem@mac.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
37,Reed,GREEN,Dylan,M,26-02-07,Colombia,United Arab Emirates,9.7155E+11,grady@gmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Business Analytics,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
38,Fatima,BAKER,Luke,M,31-12-06,Spain,United Arab Emirates,9.71527E+11,wayward@sbcglobal.net,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
39,Vera,ADAMS,Henry,M,30-01-07,Ukraine,United Arab Emirates,9.71509E+11,fviegas@optonline.net,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
40,Enzo,NELSON,Madison,F,11-11-06,Tanzania,United Arab Emirates,9.71503E+11,rtanter@msn.com,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
41,Sergio,HILL,Andrew,M,02-08-07,Kenya,United Arab Emirates,9.71502E+11,gslondon@comcast.net,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
42,Jett,RAMIREZ,Isaac,M,18-04-07,Argentina,United Arab Emirates,9.71586E+11,ewaters@msn.com,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
43,Thiago,CAMPBELL,Amelia,F,05-05-07,Algeria,United Arab Emirates,9.71562E+11,airship@verizon.net,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
44,Kyrie,MITCHELL,Christopher,M,31-01-08,Poland,United Arab Emirates,9.71552E+11,oster@sbcglobal.net,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
45,Ronan,ROBERTS,Joshua,M,24-02-07,Sudan,United Arab Emirates,9.71588E+11,ovprit@att.net,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
46,Malia,CARTER,Elizabeth,F,15-09-07,Uganda,United Arab Emirates,9.71566E+11,xnormal@yahoo.com,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
47,Lilah,PHILLIPS,Sofia,F,17-01-07,Canada,United Arab Emirates,9.71543E+11,phish@hotmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
48,Madilyn,EVANS,Wyatt,M,01-05-07,Iraq,United Arab Emirates,9.71585E+11,starstuff@outlook.com,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
49,Cohen,TURNER,Sebastian,M,11-05-07,Morocco,United Arab Emirates,9.71525E+11,gbacon@mac.com,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
50,Amanda,TORRES,Owen,M,29-06-07,Algeria ,United Arab Emirates,9.71584E+11,kourai@msn.com,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
51,Daniella,PARKER,Evelyn,F,27-01-07,Russia ,United Arab Emirates,9.71547E+11,rjones@aol.com,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
52,Colt,COLLINS,Avery,F,01-06-07,Saudi,United Arab Emirates,9.71583E+11,emcleod@att.net,2023,High school graduate ,No ,"Business, Finance and Management",Bussiness Administration,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
53,Erik,EDWARDS,Caleb,M,15-05-07,Palestinian,United Arab Emirates,9.71504E+11,atmarks@msn.com,2023,High school graduate ,No ,"Business, Finance and Management",International Business,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
54,Alexia,STEWART,Nathan,M,11-07-07,Sudan,United Arab Emirates,9.71582E+11,fviegas@hotmail.com,2023,High school graduate ,No ,"Business, Finance and Management",International Business,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
55,Kathryn,FLORES,Ryan,M,28-07-07,Sumali,United Arab Emirates,9.71588E+11,tangsh@aol.com,2023,High school graduate ,No ,"Business, Finance and Management",International Business,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
56,Paislee,MORRIS,Jack,M,11-03-07,Syria,United Arab Emirates,9.71552E+11,guialbu@outlook.com,2023,High school graduate ,No ,"Business, Finance and Management",International Business,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
57,Selena,NGUYEN,Hunter,M,17-02-07,Tajikistan,United Arab Emirates,9.71553E+11,seebs@outlook.com,2023,High school graduate ,No ,"Business, Finance and Management",International Business,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
58,Trenton,MURPHY,Levi,M,02-03-07,Tanzania,United Arab Emirates,9.71563E+11,mallanmba@aol.com,2023,High school graduate ,No ,"Business, Finance and Management",International Business,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
59,Jared,RIVERA,Christian,M,14-03-07,Thailand,United Arab Emirates,9.71554E+11,overbom@yahoo.ca,2023,High school graduate ,No ,"Business, Finance and Management",International Business,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
60,Laura,COOK,Jaxon,M,26-02-07,Trinidad,United Arab Emirates,9.71554E+11,stewwy@icloud.com,2023,High school graduate ,No ,"Business, Finance and Management",International Business,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
61,Walker,ROGERS,Julian,M,22-02-07,Tunisia,United Arab Emirates,9.71565E+11,parents@att.net,2023,High school graduate ,No ,"Business, Finance and Management",International Business,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
62,Annie,MORGAN,Landon,M,23-05-07,Turkey,United Arab Emirates,9.71556E+11,facet@yahoo.com,2023,High school graduate ,No ,"Business, Finance and Management",International Business,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
63,Landen,PETERSON,Chloe,F,18-02-06,United Arab Emirates,United Arab Emirates,9.71558E+11,seurat@me.com,2023,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
64,Nyla,COOPER,Ella,F,24-01-07,Uganda,United Arab Emirates,9.71547E+11,lbaxter@msn.com,2023,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
65,Catalina,REED,Grayson,M,11-05-06,Ukraine,United Arab Emirates,9.71551E+11,hstiles@gmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
66,Kayleigh,BAILEY,Grace,F,28-08-06,Yemen,United Arab Emirates,9.71558E+11,airship@optonline.net,2023,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
67,Sloane,BELL,Jonathan,M,08-01-06,Zambia,United Arab Emirates,9.71584E+11,gospodin@hotmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
68,Kamila,GOMEZ,Victoria,F,14-09-06,Zimbabwe,United Arab Emirates,9.71543E+11,campware@hotmail.com,2023,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
69,Alexis,KELLY,Isaiah,M,23-07-06,Palestinian,United Arab Emirates,9.71553E+11,rande@icloud.com,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
70,Nash,HOWARD,Aubrey,F,02-02-06,Palestinian,United Arab Emirates,9.71544E+11,hager@mac.com,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
71,Jaylen,WARD,Charles,M,13-02-06,Palestinian,United Arab Emirates,9.71548E+11,chlim@me.com,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
72,Lia,COX,Thomas,M,23-06-06,Palestinian,United Arab Emirates,9.71506E+11,fhirsch@hotmail.com,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
73,Haven,DIAZ,Aaron,M,05-08-06,Palestinian,United Arab Emirates,9.7159E+11,ngedmond@yahoo.ca,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
74,Rowan,RICHARDSON,Scarlett,F,28-11-05,Palestinian,United Arab Emirates,9.71506E+11,crandall@sbcglobal.net,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
75,Ashlyn,WOOD,Eli,M,13-02-06,lebabon ,United Arab Emirates,9.71557E+11,glenz@mac.com,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
76,Gregory,WATSON,Zoey,F,10-05-06,lebabon ,United Arab Emirates,9.71582E+11,shazow@outlook.com,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
77,Emanuel,BROOKS,Connor,M,05-05-06,lebabon ,United Arab Emirates,9.71585E+11,dmouse@att.net,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
78,Christina,BENNETT,Jeremiah,M,04-05-06,lebabon ,United Arab Emirates,9.71544E+11,rafasgj@yahoo.ca,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
79,Amber,GRAY,Cameron,M,21-10-05,lebabon ,United Arab Emirates,9.71545E+11,tubesteak@yahoo.com,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
80,Killian,JAMES,Addison,F,28-09-06,lebabon ,United Arab Emirates,9.71563E+11,euice@outlook.com,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,05-05-24,04-10-26,Spring,Winter,,,,,,,
81,Myla,REYES,Lily,F,07-02-06,lebabon ,United Arab Emirates,9.71585E+11,peterhoeg@verizon.net,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,05-05-24,04-10-26,Spring,Winter,,,,,,,
82,Addilyn,CRUZ,Josiah,M,06-12-05,lebabon ,United Arab Emirates,9.71585E+11,amcuri@verizon.net,2022,High school graduate ,No ,"Business, Finance and Management",Marketing,05-05-24,04-10-26,Spring,Winter,,,,,,,
83,Erin,HUGHES,Lillian,F,06-04-06,lebabon ,United Arab Emirates,9.71582E+11,jmorris@gmail.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
84,Allen,PRICE,Adrian,M,29-07-06,lebabon ,United Arab Emirates,9.7153E+11,seasweb@comcast.net,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
85,Alison,MYERS,Natalie,F,06-09-06,Algeria ,United Arab Emirates,9.7157E+11,goldberg@msn.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
86,Ainsley,LONG,Hannah,F,12-05-06,Algeria ,United Arab Emirates,9.71569E+11,jwarren@outlook.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
87,Raelyn,FOSTER,Aria,F,08-11-05,Algeria ,United Arab Emirates,9.71559E+11,notaprguy@outlook.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
88,Atticus,SANDERS,Layla,F,19-08-05,Algeria ,United Arab Emirates,9.71553E+11,joglo@gmail.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
89,Cadence,ROSS,Colton,M,19-06-00,Algeria ,United Arab Emirates,9.71542E+11,joehall@verizon.net,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
90,Kendra,MORALES,Brooklyn,F,03-11-04,Algeria ,United Arab Emirates,9.71549E+11,konst@live.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
91,Desmond,POWELL,Jordan,M,07-12-05,Tunisia ,United Arab Emirates,9.71589E+11,joglo@gmail.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
92,Shawn,SULLIVAN,Brayden,M,06-03-05,Turkey ,United Arab Emirates,9.71564E+11,ingolfke@live.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
93,Heidi,RUSSELL,Nicholas,M,01-11-04,Turkey ,United Arab Emirates,9.71569E+11,rgarcia@optonline.net,2022,High school graduate ,No ,"Business, Finance and Management",Management,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
94,Grady,ORTIZ,Robert,M,28-10-04,Turkey ,United Arab Emirates,9.71566E+11,ganter@outlook.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
95,Kelsey,JENKINS,Angel,M,12-02-05,Turkey ,United Arab Emirates,9.71543E+11,dunstan@verizon.net,2022,High school graduate ,No ,"Business, Finance and Management",Management,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
96,Nadia,GUTIERREZ,Alexa,F,02-01-05,Turkey ,United Arab Emirates,9.71508E+11,richard@comcast.net,2022,High school graduate ,No ,"Business, Finance and Management",Management,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
97,Alondra,PERRY,Hudson,M,24-07-05,Egypt ,United Arab Emirates,9.7159E+11,penna@yahoo.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
98,Cheyenne,BUTLER,Zoe,F,27-11-04,Egypt ,United Arab Emirates,9.71568E+11,ghaviv@msn.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,01-12-24,12/24/2026,Winter,Autumn,,,,,,,
99,Kaydence,BARNES,Lincoln,M,15-03-05,Egypt ,United Arab Emirates,9.71555E+11,mmccool@gmail.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,05-05-24,04-10-26,Spring,Winter,,,,,,,
100,Mikayla,FISHER,Penelope,F,05-12-04,Egypt ,United Arab Emirates,9.71563E+11,lishoy@yahoo.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,05-05-24,04-10-26,Spring,Winter,,,,,,,
101,River,HENDERSON,Evan,M,22-02-05,Egypt ,United Arab Emirates,9.71569E+11,evilopie@verizon.net,2022,High school graduate ,No ,"Business, Finance and Management",Management,05-05-24,04-10-26,Spring,Winter,,,,,,,
102,Quinn,COLEMAN,Dominic,M,08-02-05,Egypt ,United Arab Emirates,9.71522E+11,jdray@gmail.com,2022,High school graduate ,No ,"Business, Finance and Management",Management,05-05-24,04-10-26,Spring,Winter,,,,,,,
103,Frank,SIMMONS,Austin,M,27-08-05,Egypt ,United Arab Emirates,9.71525E+11,cosimo@gmail.com,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
104,Fabian,PATTERSON,Gavin,M,22-11-05,Egypt ,United Arab Emirates,9.71587E+11,raides@sbcglobal.net,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
105,Heaven,JORDAN,Nolan,M,13-06-05,Egypt ,United Arab Emirates,9.71508E+11,tangsh@msn.com,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
106,Dakota,REYNOLDS,Riley,F,22-06-05,Uganda,United Arab Emirates,9.71502E+11,noticias@me.com,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
107,Arielle,HAMILTON,Leah,F,01-04-05,Ukraine,United Arab Emirates,9.71505E+11,kjetilk@outlook.com,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
108,Roberto,GRAHAM,Audrey,F,10-07-99,Yemen,United Arab Emirates,9.71559E+11,aibrahim@comcast.net,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
109,Lana,KIM,Savannah,F,10-06-02,Zambia,United Arab Emirates,9.71587E+11,imightb@icloud.com,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
110,Blakely,GONZALES,Parker,M,23-08-03,Zimbabwe,United Arab Emirates,9.71541E+11,temmink@live.com,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
111,Sabrina,ALEXANDER,Adam,M,03-05-04,Belgium,United Arab Emirates,9.71507E+11,amcuri@comcast.net,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
112,Kyla,RAMOS,Chase,M,26-03-04,Australia ,United Arab Emirates,9.71522E+11,janneh@comcast.net,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
113,Beckham,WALLACE,Allison,F,24-08-04,Australia ,United Arab Emirates,9.71565E+11,boomzilla@msn.com,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
114,Ada,GRIFFIN,Jace,M,07-05-04,Australia ,United Arab Emirates,9.71568E+11,bester@att.net,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
115,Gracelyn,WEST,Samantha,F,15-05-04,Australia ,United Arab Emirates,9.71564E+11,jsnover@optonline.net,2022,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
116,Major,COLE,Nora,F,19-02-04,Australia ,United Arab Emirates,9.71527E+11,inico@att.net,2021,High school graduate ,No ,"Business, Finance and Management",Finance,09/20/2023,07-02-25,Autumn,Spring,,,,,,,
